SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
H863007C,Minninup,,-33.3,115.66,-1.761,0.242092059,0.242092059,0,0,0,6941,272,273,-1,0,1,12,0,0
H864013RC,Minninup,,-33.3,115.66,-0.011,0.242092059,0.242092059,0,0,0,5587,255,251,-1,0,1,12,0,0
H864016RC,Minninup,,-33.3,115.66,-0.511,0.12491322,0.12491322,0,0,0,6861,328,339,-1,0,1,12,0,0
WK-1052,Minninup,,-33.3,115.66,2.8707,0.12491322,0.12491322,0,0,0,3954,194,227,0,0,1,12,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
